address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,Average_of_numUniqSentAddress,Average_of_numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0x3841ce1df8e99708ecca3867d2fde84696c424a6,0,24,4849113,213035.7671,50,1629277859,181213405.7,380,146,9,0,27,1,0,11.05,2.451701,0.01,2,0.418333,155,357.94838,3.765,-354.18338,154,2,0.06122449,0.935897436,0.057692308,0.728848216,0.695587852,0.407894737,109.5858112
0x38422082204866f62d114f2f2205b0ce8d988af8,0,0,3793450,35632.48899,207,1604295927,54162829.23,668,1135,30,0,41,18,0,1.8694,0.084416,0,1.27179,0.182265,1165,95.81222558,5.467944833,-90.34428075,666,25,0.026408451,0.973413379,0.025728988,0.698606508,0.724907715,1.744011976,32.70402179
0x3845badade8e6dff049820680d1f14bd3903a5d0,0,0,0,0,0,25033419,2921.868187,339,0,9999,1,0,2384,0,0,0,0,0,0,10000,0,0,0,339,917,9999,0,0.99980002,0,0,29.49852507,0
0x3845db4613a45c0aa1bee21e38600f135290845e,1,21,1638151650,136517687.1,0,0,0,1,12,0,1,4,0,0,314.477477,34.432112,0,0,0,13,413.1853385,0,-413.1853385,1,12,0,0.857142857,0,0.876743666,0,13,98.85510908
0x384c0322f291ea74b3417ad0cc781b7c0e7daa19,0,75,5959990,812722.3307,510,1513712172,38957215.95,1711,127,40,0,66,24,0,10.1,0.448955,0.015,13,1.416948,167,57.01727218,56.67791994,-0.339352239,167,1,0.3125,0.755952381,0.238095238,0.841932701,0.72495561,0.097603741,3.371198492
0x3853ba76ec6ae97818e2d0e0839c9eda6c396690,1,111,9944408,2120149.9,20,1506373691,10900819.01,348,10,139,0,9,134,0,96.4,30.886987,0.000921,66.97,2.223962,149,308.8698665,309.1306606,0.260794051,109,10,12.63636364,0.066666667,0.926666667,0.592977753,0.830939752,0.42816092,69.66656108
0x38563699560e4512c7574c8cc5cf89fd43923bca,0,0,1623068023,162758.9585,0,0,0,53,10000,0,0,2,0,0,0,0,0,0,0,10000,0,0,0,53,614,0,0.99990001,0,4.44E-17,0,188.6792453,0
0x385afc7ed3782aac1ee10d19892ea9d345bc0797,1,2151920,2676806,2414363,272,1572041286,524014127.7,56,2,3,0,2,1,0.120228,0.4,0.260114,0.01,0.5,0.17346,5,0.52022763,0.52037883,0.0001512,3,3,1,0.333333333,0.5,0.268894082,0.62774744,0.089285714,0.234922683
0x3865fec7f15d5933d7e6fe02d26227a4c05ed591,1,22290,5467667,1033568.571,5216,1517040884,505991775,95,7,3,0,4,3,0.006619,5,1.572374,0.01,10,3.67,10,11.006619,11.01,0.003381,8,3,0.375,0.636363636,0.272727273,0.440777419,0.604904616,0.105263158,3.068069211
0x3869db12591382ed94eefe6b55c4e82c6b8c1489,1,0,0,0,64,1562560184,195488650.3,508,1,8,0,1,8,3.267502,3.267502,3.267502,0.06,1.269453,0.408682,9,3.26750222,3.26945522,0.001953,5,5,4,0.1,0.8,0,0.50949535,0.017716535,1.192436297
